reserva_cancelada,tempo_antecedencia,data_chegada,ano_chegada,mes_chegada,diadomes_chegada,nro_noites_fds,nro_noites_dds,adultos,criancas,bebes,alimentacao,país,segmento_mercado,cliente_recorrente,tipo_quarto,tipo_pgto,agencia_turismo,receita_por_noite,pedidos_especiais,status_reserva,data_status_reserva
1,75,01/07/2015,2015,7,1,0,3,2,0,0,HB,PRT,AT Offline,0,D,Sem pgto,15,"105,5",0,Cancelada,22/04/2015
1,85,01/07/2015,2015,7,1,0,3,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,82,1,Cancelada,06/05/2015
1,60,01/07/2015,2015,7,1,2,5,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,240,107,2,Cancelada,11/05/2015
1,96,01/07/2015,2015,7,1,2,8,2,0,0,BB,PRT,Direta,0,E,Sem pgto,NULL,"108,3",2,Cancelada,29/05/2015
1,23,01/07/2015,2015,7,1,0,4,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,240,123,0,Cancelada,23/06/2015
0,342,01/07/2015,2015,7,1,0,0,2,0,0,BB,PRT,Direta,0,C,Sem pgto,NULL,0,0,Confirmada,01/07/2015
0,737,01/07/2015,2015,7,1,0,0,2,0,0,BB,PRT,Direta,0,C,Sem pgto,NULL,0,0,Confirmada,01/07/2015
0,127,01/07/2015,2015,7,1,2,5,2,0,0,HB,GBR,AT Offline,0,D,Sem pgto,115,"94,95",1,Confirmada,01/07/2015
0,7,01/07/2015,2015,7,1,0,1,1,0,0,BB,GBR,Direta,0,A,Sem pgto,NULL,75,0,Confirmada,02/07/2015
0,13,01/07/2015,2015,7,1,0,1,1,0,0,BB,GBR,Corporativo,0,A,Sem pgto,304,75,0,Confirmada,02/07/2015
0,12,01/07/2015,2015,7,1,0,1,2,0,0,BB,IRL,AT Online,0,A,Sem pgto,240,"88,2",0,Confirmada,02/07/2015
0,0,01/07/2015,2015,7,1,0,1,2,0,0,BB,FRA,Corporativo,0,A,Sem pgto,NULL,"107,42",0,Confirmada,02/07/2015
0,4,01/07/2015,2015,7,1,0,1,1,0,0,BB,NULL,Corporativo,0,A,Sem pgto,NULL,134,0,Confirmada,02/07/2015
0,2,01/07/2015,2015,7,1,0,1,1,0,0,BB,NULL,AT Online,0,A,Sem pgto,240,4,1,Confirmada,02/07/2015
0,1,01/07/2015,2015,7,1,0,1,1,0,0,BB,PRT,Corporativo,1,A,Sem pgto,NULL,134,0,Confirmada,02/07/2015
0,14,01/07/2015,2015,7,1,0,2,2,0,0,BB,GBR,AT Online,0,A,Sem pgto,240,98,1,Confirmada,03/07/2015
0,14,01/07/2015,2015,7,1,0,2,2,0,0,BB,GBR,AT Online,0,A,Sem pgto,240,98,1,Confirmada,03/07/2015
0,0,01/07/2015,2015,7,1,0,2,2,0,0,BB,PRT,Direta,0,C,Sem pgto,NULL,107,0,Confirmada,03/07/2015
0,9,01/07/2015,2015,7,1,0,2,2,0,0,FB,PRT,Direta,0,C,Sem pgto,303,103,1,Confirmada,03/07/2015
0,35,01/07/2015,2015,7,1,0,4,2,0,0,HB,PRT,AT Online,0,D,Sem pgto,240,145,0,Confirmada,05/07/2015
0,68,01/07/2015,2015,7,1,0,4,2,0,0,BB,USA,AT Online,0,D,Sem pgto,240,97,3,Confirmada,05/07/2015
0,18,01/07/2015,2015,7,1,0,4,2,1,0,HB,ESP,AT Online,0,G,Sem pgto,241,"154,77",1,Confirmada,05/07/2015
0,37,01/07/2015,2015,7,1,0,4,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,241,"94,71",0,Confirmada,05/07/2015
0,68,01/07/2015,2015,7,1,0,4,2,0,0,BB,IRL,AT Online,0,D,Sem pgto,240,97,3,Confirmada,05/07/2015
0,37,01/07/2015,2015,7,1,0,4,2,0,0,BB,PRT,AT Offline,0,E,Sem pgto,8,"97,5",0,Confirmada,05/07/2015
0,7,01/07/2015,2015,7,1,0,4,2,0,0,BB,GBR,Direta,0,G,Sem pgto,250,153,1,Confirmada,05/07/2015
0,181,01/07/2015,2015,7,1,0,4,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,153,1,Confirmada,05/07/2015
0,126,01/07/2015,2015,7,1,0,4,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,253,"62,5",0,Confirmada,05/07/2015
0,37,01/07/2015,2015,7,1,1,4,1,0,0,BB,GBR,AT Online,0,F,Sem pgto,241,"97,29",1,Confirmada,06/07/2015
0,110,01/07/2015,2015,7,1,1,4,3,0,0,BB,ESP,AT Offline,0,A,Sem pgto,6,"79,59",1,Confirmada,06/07/2015
0,72,01/07/2015,2015,7,1,2,4,2,0,0,BB,PRT,Direta,0,A,Sem pgto,250,"84,67",1,Confirmada,07/07/2015
0,72,01/07/2015,2015,7,1,2,4,2,0,0,BB,PRT,Direta,0,A,Sem pgto,250,"84,67",1,Confirmada,07/07/2015
0,72,01/07/2015,2015,7,1,2,4,2,0,0,BB,PRT,Direta,0,D,Sem pgto,250,"99,67",1,Confirmada,07/07/2015
0,78,01/07/2015,2015,7,1,2,5,2,0,0,BB,PRT,AT Offline,0,D,Sem pgto,5,"63,6",0,Confirmada,08/07/2015
0,48,01/07/2015,2015,7,1,2,5,2,0,0,BB,IRL,AT Offline,0,D,Sem pgto,8,"79,5",0,Confirmada,08/07/2015
0,77,01/07/2015,2015,7,1,2,5,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,94,0,Confirmada,08/07/2015
0,99,01/07/2015,2015,7,1,2,5,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,"87,3",1,Confirmada,08/07/2015
0,145,01/07/2015,2015,7,1,2,5,2,0,0,HB,GBR,AT Offline,0,A,Sem pgto,115,"82,35",0,Confirmada,08/07/2015
0,149,01/07/2015,2015,7,1,2,5,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,156,"55,68",0,Confirmada,08/07/2015
0,149,01/07/2015,2015,7,1,2,5,2,1,0,BB,IRL,AT Offline,0,A,Sem pgto,156,"69,6",1,Confirmada,08/07/2015
0,118,01/07/2015,2015,7,1,4,10,1,0,0,BB,NULL,Direta,0,A,Sem pgto,NULL,62,2,Confirmada,15/07/2015
0,118,01/07/2015,2015,7,1,4,10,2,0,0,BB,NULL,Direta,0,E,Sem pgto,NULL,80,1,Confirmada,15/07/2015
0,95,01/07/2015,2015,7,1,4,11,2,0,0,BB,GBR,AT Offline,0,D,Sem pgto,241,"63,86",0,Confirmada,16/07/2015
1,122,02/07/2015,2015,7,2,1,3,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"110,7",1,Cancelada,11/03/2015
1,152,02/07/2015,2015,7,2,4,10,2,0,0,BB,PRT,AT Offline,0,D,Sem pgto,243,"67,58",0,Cancelada,03/04/2015
1,45,02/07/2015,2015,7,2,2,3,2,0,0,BB,PRT,AT Online,0,G,Sem pgto,241,"117,81",0,Cancelada,18/05/2015
1,45,02/07/2015,2015,7,2,1,3,3,0,0,BB,PRT,AT Online,0,D,Sem pgto,241,"108,8",1,Cancelada,19/05/2015
1,43,02/07/2015,2015,7,2,1,3,3,0,0,BB,PRT,AT Online,0,D,Sem pgto,241,"108,8",0,Cancelada,23/05/2015
1,47,02/07/2015,2015,7,2,2,5,2,2,0,BB,PRT,AT Online,0,G,Sem pgto,240,153,0,Cancelada,02/06/2015
1,57,02/07/2015,2015,7,2,0,3,1,0,0,BB,PRT,Direta,1,A,Sem pgto,NULL,63,0,Cancelada,14/06/2015
1,40,02/07/2015,2015,7,2,1,3,3,0,0,BB,PRT,AT Online,0,D,Sem pgto,241,"108,8",1,Cancelada,19/06/2015
1,3,02/07/2015,2015,7,2,0,3,2,0,0,HB,PRT,AT Online,0,A,Sem pgto,240,"136,33",2,Cancelada,29/06/2015
0,3,02/07/2015,2015,7,2,0,1,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,"88,2",0,Confirmada,03/07/2015
0,1,02/07/2015,2015,7,2,0,1,2,0,0,BB,ARG,AT Online,0,H,Sem pgto,240,147,0,Confirmada,03/07/2015
0,1,02/07/2015,2015,7,2,0,1,2,2,0,BB,ESP,Direta,0,C,Sem pgto,NULL,107,2,Confirmada,03/07/2015
0,0,02/07/2015,2015,7,2,0,1,2,0,0,BB,PRT,Direta,0,H,Sem pgto,NULL,147,0,Confirmada,03/07/2015
0,0,02/07/2015,2015,7,2,0,1,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"117,9",2,Confirmada,03/07/2015
0,0,02/07/2015,2015,7,2,0,1,2,0,0,BB,PRT,Direta,0,G,Sem pgto,NULL,123,0,Confirmada,03/07/2015
0,14,02/07/2015,2015,7,2,0,2,2,0,0,BB,USA,AT Online,0,A,Sem pgto,242,98,1,Confirmada,04/07/2015
0,10,02/07/2015,2015,7,2,0,2,2,0,0,BB,PRT,AT Online,0,G,Sem pgto,241,"117,81",0,Confirmada,04/07/2015
0,5,02/07/2015,2015,7,2,0,2,2,0,0,BB,IRL,AT Online,0,E,Sem pgto,240,135,2,Confirmada,04/07/2015
0,17,02/07/2015,2015,7,2,0,3,2,0,0,BB,ESP,Direta,0,F,Sem pgto,250,133,1,Confirmada,05/07/2015
0,93,02/07/2015,2015,7,2,0,3,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,115,"58,95",0,Confirmada,05/07/2015
0,15,02/07/2015,2015,7,2,1,3,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,98,0,Confirmada,06/07/2015
0,36,02/07/2015,2015,7,2,1,3,3,0,0,BB,PRT,AT Online,0,D,Sem pgto,241,"108,8",1,Confirmada,06/07/2015
0,70,02/07/2015,2015,7,2,2,3,2,0,0,HB,ROU,Direta,0,E,Sem pgto,250,137,1,Confirmada,07/07/2015
0,45,02/07/2015,2015,7,2,2,3,2,0,0,BB,IRL,AT Offline,0,D,Sem pgto,8,"79,5",0,Confirmada,07/07/2015
0,16,02/07/2015,2015,7,2,2,3,2,0,0,BB,ESP,Direta,0,F,Sem pgto,NULL,123,0,Confirmada,07/07/2015
0,70,02/07/2015,2015,7,2,2,3,2,0,0,HB,ROU,Direta,0,E,Sem pgto,250,137,1,Confirmada,07/07/2015
0,69,02/07/2015,2015,7,2,2,4,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,175,"65,5",0,Confirmada,08/07/2015
0,150,02/07/2015,2015,7,2,2,4,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,156,"55,68",0,Confirmada,08/07/2015
0,127,02/07/2015,2015,7,2,2,4,2,0,0,BB,GBR,AT Offline,0,A,Sem pgto,243,"55,68",1,Confirmada,08/07/2015
0,107,02/07/2015,2015,7,2,2,5,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"110,7",2,Confirmada,09/07/2015
0,96,02/07/2015,2015,7,2,2,5,2,0,0,BB,ESP,AT Offline,0,A,Sem pgto,134,"58,95",1,Confirmada,09/07/2015
0,113,02/07/2015,2015,7,2,2,5,2,0,0,BB,NOR,AT Offline,0,E,Sem pgto,156,"82,88",2,Confirmada,09/07/2015
0,90,02/07/2015,2015,7,2,2,5,2,0,0,HB,GBR,AT Offline,0,A,Sem pgto,243,"82,35",0,Confirmada,09/07/2015
0,50,02/07/2015,2015,7,2,2,5,2,0,0,HB,IRL,AT Online,0,E,Sem pgto,241,"119,35",1,Confirmada,09/07/2015
